game_nr,object,fixed indices,context condition,message
820,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
1437,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
720,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
914,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
820,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
914,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
720,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
1170,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
420,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
1437,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
216,[1. 0. 2.],[1. 1. 1.],2,"[8, 4, 4, 0]"
820,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
1445,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
1453,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
986,[1. 0. 2.],[1. 1. 1.],2,"[8, 4, 4, 0]"
216,[1. 0. 2.],[1. 1. 1.],2,"[8, 4, 4, 0]"
1170,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
796,[1. 0. 2.],[1. 1. 1.],1,"[8, 4, 8, 0]"
986,[1. 0. 2.],[1. 1. 1.],2,"[8, 4, 4, 0]"
1437,[1. 0. 2.],[1. 1. 1.],0,"[8, 4, 8, 0]"
