game_nr,object,fixed indices,context condition,message
884,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
744,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1216,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1252,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
637,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
120,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1035,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
653,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1573,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
196,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1744,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
1744,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
1018,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
143,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
653,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
884,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1443,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1216,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
737,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1252,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
