game_nr,object,fixed indices,context condition,message
1151,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
35,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
906,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
755,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
1633,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
694,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
1151,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
611,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
1405,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
755,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
1182,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
1003,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
1633,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
995,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
1544,[1. 3. 2.],[1. 1. 1.],0,"[8, 11, 1, 0]"
1151,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
1151,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
29,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
1405,[1. 3. 2.],[1. 1. 1.],1,"[8, 11, 1, 0]"
906,[1. 3. 2.],[1. 1. 1.],2,"[8, 11, 1, 0]"
