game_nr,object,fixed indices,context condition,message
1384,[0. 3. 2.],[1. 1. 1.],2,"[1, 1, 1, 0]"
90,[0. 3. 2.],[1. 1. 1.],1,"[1, 1, 1, 0]"
1384,[0. 3. 2.],[1. 1. 1.],2,"[1, 1, 1, 0]"
1183,[0. 3. 2.],[1. 1. 1.],1,"[11, 1, 1, 0]"
1798,[0. 3. 2.],[1. 1. 1.],0,"[11, 1, 9, 0]"
1483,[0. 3. 2.],[1. 1. 1.],2,"[1, 1, 14, 0]"
389,[0. 3. 2.],[1. 1. 1.],0,"[1, 1, 14, 0]"
1535,[0. 3. 2.],[1. 1. 1.],0,"[11, 1, 1, 0]"
1535,[0. 3. 2.],[1. 1. 1.],0,"[11, 1, 1, 0]"
1699,[0. 3. 2.],[1. 1. 1.],1,"[1, 1, 9, 0]"
1456,[0. 3. 2.],[1. 1. 1.],1,"[1, 1, 1, 0]"
68,[0. 3. 2.],[1. 1. 1.],2,"[1, 1, 1, 0]"
389,[0. 3. 2.],[1. 1. 1.],0,"[1, 1, 14, 0]"
225,[0. 3. 2.],[1. 1. 1.],0,"[11, 1, 1, 0]"
90,[0. 3. 2.],[1. 1. 1.],1,"[1, 1, 1, 0]"
1699,[0. 3. 2.],[1. 1. 1.],1,"[1, 1, 9, 0]"
1183,[0. 3. 2.],[1. 1. 1.],1,"[11, 1, 1, 0]"
1546,[0. 3. 2.],[1. 1. 1.],0,"[11, 1, 9, 0]"
389,[0. 3. 2.],[1. 1. 1.],0,"[1, 1, 14, 0]"
1384,[0. 3. 2.],[1. 1. 1.],2,"[1, 1, 1, 0]"
