game_nr,object,fixed indices,context condition,message
1671,[1. 1. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
1247,[1. 2. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
2,[1. 2. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
1278,[1. 3. 2.],[1. 0. 1.],0,"[8, 8, 8, 0]"
1207,[1. 0. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
1038,[1. 3. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
861,[1. 1. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
861,[1. 3. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
2,[1. 0. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
1386,[1. 3. 2.],[1. 0. 1.],0,"[8, 8, 8, 0]"
861,[1. 3. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
1401,[1. 1. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
1629,[1. 3. 2.],[1. 0. 1.],0,"[8, 8, 8, 0]"
1278,[1. 2. 2.],[1. 0. 1.],0,"[8, 8, 8, 0]"
1765,[1. 3. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
2,[1. 2. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
1765,[1. 2. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
1765,[1. 0. 2.],[1. 0. 1.],0,"[8, 8, 11, 0]"
861,[1. 1. 2.],[1. 0. 1.],1,"[8, 11, 8, 0]"
1629,[1. 2. 2.],[1. 0. 1.],0,"[8, 8, 8, 0]"
