game_nr,object,fixed indices,context condition,message
1536,[3. 0. 1.],[1. 1. 1.],0,"[15, 3, 4, 0]"
272,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
792,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
478,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
478,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
649,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
496,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
249,[3. 0. 1.],[1. 1. 1.],0,"[15, 3, 4, 0]"
178,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
870,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
540,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
1519,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
1536,[3. 0. 1.],[1. 1. 1.],0,"[15, 3, 4, 0]"
478,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
649,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
230,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
272,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
1786,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
178,[3. 0. 1.],[1. 1. 1.],1,"[15, 3, 4, 0]"
189,[3. 0. 1.],[1. 1. 1.],2,"[3, 15, 3, 0]"
