game_nr,object,fixed indices,context condition,message
11341,[0. 1. 2. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
11341,[0. 3. 2. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
11416,[0. 0. 1. 1.],[1. 0. 0. 1.],1,"[11, 12, 15, 5, 0]"
3989,[0. 1. 0. 1.],[1. 0. 0. 1.],0,"[11, 12, 5, 9, 0]"
11341,[0. 3. 0. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
374,[0. 0. 3. 1.],[1. 0. 0. 1.],1,"[11, 12, 9, 5, 0]"
4534,[0. 3. 0. 1.],[1. 0. 0. 1.],0,"[11, 12, 5, 9, 0]"
11416,[0. 2. 3. 1.],[1. 0. 0. 1.],1,"[11, 12, 15, 5, 0]"
10625,[0. 2. 1. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
11416,[0. 3. 2. 1.],[1. 0. 0. 1.],1,"[11, 12, 15, 5, 0]"
5067,[0. 0. 1. 1.],[1. 0. 0. 1.],0,"[11, 12, 5, 9, 0]"
4068,[0. 1. 2. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
270,[0. 2. 3. 1.],[1. 0. 0. 1.],0,"[11, 12, 9, 5, 0]"
374,[0. 0. 0. 1.],[1. 0. 0. 1.],1,"[11, 12, 9, 5, 0]"
6391,[0. 3. 1. 1.],[1. 0. 0. 1.],1,"[11, 12, 9, 5, 0]"
3856,[0. 2. 2. 1.],[1. 0. 0. 1.],1,"[11, 12, 9, 5, 0]"
3989,[0. 3. 0. 1.],[1. 0. 0. 1.],0,"[11, 12, 5, 9, 0]"
11416,[0. 2. 2. 1.],[1. 0. 0. 1.],1,"[11, 12, 15, 5, 0]"
6391,[0. 1. 2. 1.],[1. 0. 0. 1.],1,"[11, 12, 9, 5, 0]"
2483,[0. 0. 0. 1.],[1. 0. 0. 1.],0,"[11, 12, 15, 5, 0]"
