game_nr,object,fixed indices,context condition,message
202,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
136,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
441,[1. 0. 3.],[1. 1. 1.],0,"[8, 5, 2, 0]"
1689,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
202,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
136,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
302,[1. 0. 3.],[1. 1. 1.],0,"[8, 5, 5, 0]"
1689,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
569,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
1524,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
258,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
1524,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
909,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
1689,[1. 0. 3.],[1. 1. 1.],1,"[8, 5, 5, 0]"
909,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
552,[1. 0. 3.],[1. 1. 1.],0,"[8, 5, 5, 0]"
136,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
733,[1. 0. 3.],[1. 1. 1.],0,"[8, 5, 5, 0]"
1487,[1. 0. 3.],[1. 1. 1.],0,"[8, 5, 5, 0]"
909,[1. 0. 3.],[1. 1. 1.],2,"[8, 5, 5, 0]"
