game_nr,object,fixed indices,context condition,message
78,[2. 3. 0.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1582,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
78,[2. 3. 1.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1582,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1129,[2. 3. 2.],[1. 1. 0.],0,"[6, 13, 10, 0]"
918,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
921,[2. 3. 2.],[1. 1. 0.],1,"[6, 13, 10, 0]"
0,[2. 3. 2.],[1. 1. 0.],0,"[6, 13, 10, 0]"
666,[2. 3. 2.],[1. 1. 0.],1,"[6, 13, 10, 0]"
788,[2. 3. 1.],[1. 1. 0.],0,"[6, 13, 6, 0]"
1582,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1212,[2. 3. 2.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1212,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
819,[2. 3. 1.],[1. 1. 0.],0,"[13, 6, 6, 0]"
497,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 6, 0]"
921,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
788,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 6, 0]"
1582,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
78,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1212,[2. 3. 0.],[1. 1. 0.],1,"[6, 13, 10, 0]"
