game_nr,object,fixed indices,context condition,message
1627,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
367,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
1627,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
245,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
1412,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
1627,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
1145,[2. 3. 0.],[1. 1. 1.],2,"[6, 2, 6, 0]"
385,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
1743,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
846,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
1241,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
1743,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
293,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
456,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
1286,[2. 3. 0.],[1. 1. 1.],2,"[6, 2, 6, 0]"
1424,[2. 3. 0.],[1. 1. 1.],0,"[6, 13, 6, 0]"
876,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
887,[2. 3. 0.],[1. 1. 1.],2,"[6, 2, 6, 0]"
1743,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
245,[2. 3. 0.],[1. 1. 1.],1,"[6, 2, 6, 0]"
