game_nr,object,fixed indices,context condition,message
833,[1. 1. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
833,[1. 2. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
1602,[1. 1. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
464,[1. 2. 0.],[1. 0. 1.],0,"[8, 7, 7, 0]"
1602,[1. 1. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
282,[1. 1. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
71,[1. 2. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
279,[1. 3. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
572,[1. 1. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
1602,[1. 3. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
1357,[1. 0. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
1602,[1. 3. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
1069,[1. 3. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
1069,[1. 3. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
71,[1. 0. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
407,[1. 1. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
386,[1. 2. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
1219,[1. 0. 0.],[1. 0. 1.],1,"[7, 7, 7, 0]"
464,[1. 3. 0.],[1. 0. 1.],0,"[8, 7, 7, 0]"
833,[1. 1. 0.],[1. 0. 1.],0,"[7, 7, 7, 0]"
