attributes,values,context_unaware,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,length_cost,max_mess_len,train_loss,train_accuracy,train_length,test_loss,test_accuracy,test_length
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.06332620978355408,0.9865172505378723,4.402402877807617,0.07038488239049911,0.9849432706832886,4.4156575202941895
3,16,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.6829244494438171,0.5504275560379028,1.0,0.6872435212135315,0.5353931188583374,1.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.03609877824783325,0.9931164979934692,4.0,0.03968214988708496,0.9927406907081604,4.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.08989045023918152,0.9824095964431763,3.4522273540496826,0.09988291561603546,0.9794542789459229,3.4538466930389404
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.053074102848768234,0.9893048405647278,6.0,0.06074291095137596,0.9878640174865723,6.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.07757613807916641,0.9828439950942993,4.721158981323242,0.08989396691322327,0.9805929064750671,4.785894393920898
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.09266356378793716,0.9815995097160339,3.427119493484497,0.10402721166610718,0.9795851707458496,3.441401720046997
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.11943554878234863,0.9715947508811951,2.8082470893859863,0.16165736317634583,0.954144299030304,2.8144824504852295
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.6743792295455933,0.5599613785743713,1.0,0.6804103255271912,0.5405349135398865,1.0
3,16,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.6808490753173828,0.5543243885040283,1.0,0.6849948763847351,0.5429813861846924,1.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.2557130455970764,0.9021651744842529,20.999914169311523,0.2975444793701172,0.8810182809829712,21.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.03590477630496025,0.998124361038208,5.556856155395508,0.05289333313703537,0.9946281313896179,5.582706451416016
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.03730199858546257,0.9979946613311768,5.658594131469727,0.05415938049554825,0.9950882196426392,5.826121807098389
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.05961226671934128,0.9902901649475098,3.7103233337402344,0.20493543148040771,0.9414777159690857,3.6793878078460693
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,10.0,0.13378390669822693,0.964337170124054,3.563399314880371,0.308767706155777,0.8954624533653259,3.558974266052246
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.25872740149497986,0.9028348922729492,30.999996185302734,0.30174675583839417,0.8793907165527344,31.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,30.0,0.2605975866317749,0.9015232920646667,30.986328125,0.27829718589782715,0.8948167562484741,30.97917938232422
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.03832927718758583,0.995608389377594,3.999990940093994,0.22379347681999207,0.9455325603485107,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,5.0,0.035760506987571716,0.9980383515357971,5.464670181274414,0.0670936182141304,0.9926486611366272,5.6433329582214355
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,3.0,0.04999822378158569,0.9906882047653198,3.682847499847412,0.32554593682289124,0.896726667881012,3.711756706237793
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.011249874718487263,0.9981933236122131,6.0,0.02799892984330654,0.9950256943702698,6.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.017030276358127594,0.9966959357261658,4.0,0.33497127890586853,0.911742627620697,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.03924626111984253,0.9950203895568848,3.838348627090454,0.23825596272945404,0.9380701780319214,3.8263845443725586
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.015836190432310104,0.9965013265609741,4.0,0.7529628872871399,0.8349244594573975,4.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.017070846632122993,0.9974687695503235,6.0,0.04104301705956459,0.9922595024108887,6.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.029690194875001907,0.9932565689086914,11.0,0.03222058340907097,0.9927176833152771,11.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,20.0,0.2244562953710556,0.9156553745269775,21.0,0.2689221203327179,0.896664023399353,21.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.01703011244535446,0.9986865520477295,11.0,0.017794284969568253,0.9983635544776917,11.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,5.0,0.011731167323887348,0.9988052845001221,6.0,0.020872335880994797,0.9965078234672546,6.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,3.0,0.015518770553171635,0.997412383556366,4.0,0.26193559169769287,0.9316331148147583,4.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,10.0,0.016285249963402748,0.9990111589431763,11.0,0.017889173701405525,0.9988080859184265,11.0
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.014902278780937195,0.9980077743530273,5.899998188018799,0.04484757408499718,0.991671621799469,5.947198390960693
5,4,0.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.29216131567955017,0.8874263167381287,20.99973487854004,0.35485729575157166,0.856380820274353,20.99959945678711
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,20.0,0.02437094785273075,0.9972977042198181,12.81174087524414,0.026405561715364456,0.9969213604927063,12.902889251708984
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,10.0,0.2300240397453308,0.9049050211906433,11.0,0.3121531903743744,0.8661438822746277,11.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,20.0,0.029180163517594337,0.9986774325370789,4.597599983215332,0.142014279961586,0.9681159257888794,4.623525142669678
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.005,30.0,0.0414116270840168,0.9942220449447632,4.138922691345215,0.2998984158039093,0.9161830544471741,4.255035400390625
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,5.0,0.011882439255714417,0.9979137182235718,6.0,0.028472870588302612,0.9934951066970825,6.0
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.001,30.0,0.013801912777125835,0.9989501237869263,8.906387329101562,0.015009521506726742,0.9989049434661865,8.75820255279541
5,4,1.0,10,3.0,60.0,32,0.001,128,0.99,2.0,0.0005,3.0,0.01632157526910305,0.9965929985046387,4.0,0.2660619914531708,0.9282809495925903,4.0
